latitude,longtitute
25.03364,121.527347
25.128908,121.744249
25.077665,121.577675
25.05259,121.607455
25.082899,121.548168
,
25.033031,121.541716
25.027544,121.493327
25.079473,121.577934
25.029212,121.509046
,
25.022509,121.528068
25.051538,121.521534
25.120848,121.721305
25.015336,121.513473
25.027597,121.465176
25.026166,121.477208
25.049232,121.447723
24.952731,121.540022
25.080212,121.481548
24.994299,121.504818
25.074141,121.363265
25.014361,121.463614
25.030031,121.434444
25.014361,121.463614
25.17598931,121.44228976
,
24.9336481,121.37025987
25.085475,121.472953
,
25.032377,121.434598
,
,
,
25.088673,121.479139
25.082576,121.470392
24.945118,121.377599
25.021882,121.421613
24.992259,121.505125
25.031602,121.4759
25.014361,121.463614
25.055879,121.43224
,
,
25.016251,121.461267
24.94215108,121.37242855
25.068584,121.480487
25.16889462,121.4460153
25.006083,121.475663
,
24.985784,121.535796
24.965137,121.438916
25.17730636,121.4479286
25.00775202,121.46138752
,
25.019823,121.420588
25.061741,121.645828
24.973113,121.529914
25.081647,121.472845
24.937476,121.366137
24.988761,121.509847
25.018511,121.294415
,
24.806868,120.965652
25.013304,121.315503
24.972858,121.255908
24.785825,121.018836
24.961847,121.22337
24.954224,121.240181
24.81011,120.976835
24.899717,121.210688
24.954054,121.298787
24.955219,121.241572
24.808978,120.969818
24.963967,121.294056
24.867363,121.215854
,
25.01489559,121.212701
24.959007,121.23971
24.989778,121.343489
24.80869,120.965239
24.956705,121.224493
24.95464,121.242816
24.974724,121.323071
25.059881,121.368966
24.804881,120.96865
24.956157,121.237573
24.96019,121.281938
24.802001,120.970356
24.963111,121.225746
25.01339,121.215147
24.954455,121.239747
,
24.781246,121.023851
25.059055,121.36994
24.964971,121.215178
24.990191,121.312582
24.83343,121.01895
24.80968,120.974938
24.561675,120.818111
25.00063,121.228869
,
23.975744,120.979772
25.077114,121.232513
,
24.807731,121.033939
24.953347,121.202816
24.801937,120.966893
25.01489559,121.212701
25.05653,121.364382
24.44061,120.652608
24.437483,120.655105
24.563171,120.819615
24.954224,121.240181
24.560949,120.818599
,
24.83114,121.01343
24.155773,120.663221
24.13918,120.681883
24.150092,120.65943
24.174131,120.688134
24.153209,120.660066
24.162291,120.683568
24.11428,120.655924
24.15029,120.71092
,
24.128616,120.683356
24.146146,120.659605
24.15368,120.686349
24.155195,120.660603
24.163929,120.638069
24.160704,120.681276
24.183305,120.615671
24.146189,120.676949
24.151128,120.661063
24.16703,120.687174
24.130042,120.66689
24.257091,120.518158
24.149175,120.660638
24.068265,120.5425267
24.174642,120.680165
24.147592,120.683842
24.158106,120.66147
24.132627,120.665734
24.257091,120.518158
,
24.072806,120.5486107
24.152181,120.684905
24.281932,120.601531
24.164664,120.643224
24.18752,120.592831
24.142797,120.655283
24.157861,120.650584
24.18479,120.644446
24.0741566,120.5484256
24.14162,120.674795
24.154033,120.680914
24.177711,120.646346
24.166464,120.651989
23.9603489,120.580638
24.257091,120.518158
24.150998,120.663946
24.17036,120.691577
24.343589,120.622101
23.964695,120.970387
24.183544,120.646487
24.142905,120.676003
24.181024,120.646222
24.152875,120.680902
23.98901346,120.66232218
24.159394,120.669905
24.157854,120.6388
24.164664,120.643224
24.148236,120.701987
24.146247,120.6694
24.0680675,120.5351366
24.180315,120.586802
,
24.281932,120.601531
23.970788,120.959098
24.150315,120.662328
24.15203,120.66035
24.252194,120.706045
23.970267,120.5715228
24.1403,120.666849
23.001908,120.206016
22.981029,120.216441
23.039053,120.241287
23.009061,120.205495
23.00488209,120.209868
23.478847,120.450581
22.995951,120.229816
22.995724,120.20129
23.019189,120.233487
22.989489,120.209897
23.008632,120.220536
22.997989,120.201308
22.998108,120.198305
23.708827,120.434255
22.98846409,120.182432
23.473265,120.441178
23.705737,120.53845
23.709163,120.538222
22.989087,120.23055
22.994346,120.200109
22.991534,120.21797
22.97285,120.227657
23.024352,120.192244
23.008589,120.233273
23.47118,120.442567
23.70271786,120.53132595
23.477276,120.459375
22.992282,120.210827
22.995629,120.214964
22.997167,120.158855
23.490113,120.452919
23.48181,120.448234
23.476188,120.448771
22.997895,120.202199
22.9847,120.216857
22.655706,120.302358
22.64243,120.315103
22.623315,120.318417
22.62542235,120.35359471
22.620622,120.295522
22.625034,120.301894
22.618266,120.295894
22.612601,120.568304
22.622593,120.317721
22.644426,120.330242
22.662447,120.303432
22.68754235,120.30688471
22.65400235,120.29133471
22.621687,120.298357
22.658921,120.314842
22.63269,120.303868
22.622112,120.359251
22.65364,120.331605
22.642038,120.350118
22.594979,120.307095
22.624561,120.320023
22.595897,120.327626
22.603434,120.302771
22.645134,120.304004
22.663388,120.297576
22.599339,120.320406
22.68951235,120.31091471
22.619339,120.2961
22.622153,120.307468
22.664304,120.310461
22.79381,120.292515
22.739022,120.325465
22.685558,120.295427
22.632695,120.3497
22.620699,120.302283
,
22.612939,120.30727
22.670191,120.494514
22.670367,120.492306
22.623739,120.322861
22.627402,120.32727
22.615627,120.301496
22.661245,120.306031
22.66945,120.491268
22.66228287,120.49156901
22.624781,120.305463
22.668711,120.486353
22.669554,120.306706
22.663674,120.301634
22.604939,120.304258
24.673032,121.764848
23.98169069,121.60658232
23.98170239,121.60906424
23.98556335,121.60373567
23.98285466,121.60619422
22.7506339,121.1506616
24.67968806,121.77757198
23.97818085,121.60735353
24.842515,121.789747
